OverallQual,MSSubClass_150,Heating_Grav,RoofMatl_ClyTile,Heating_GasW,Heating_GasA,RoofMatl_WdShngl,Heating_Wall,Heating_OthW,Heating_Floor,MSZoning_C (all),GrLivArea,RoofMatl_Membran,RoofMatl_Metal,RoofMatl_Tar&Grv,SalePrice
7,0,0,0,0,1,0,0,0,0,0,7.444833273892193,0,0,0,12.24769911637256
6,0,0,0,0,1,0,0,0,0,0,7.141245122350491,0,0,0,12.109016442313738
7,0,0,0,0,1,0,0,0,0,0,7.488293515159428,0,0,0,12.317171167298682
7,0,0,0,0,1,0,0,0,0,0,7.4489161025442,0,0,0,11.849404844423074
8,0,0,0,0,1,0,0,0,0,0,7.695757990554761,0,0,0,12.429220196836383
5,0,0,0,0,1,0,0,0,0,0,7.217443431696533,0,0,0,11.870606902224587
8,0,0,0,0,1,0,0,0,0,0,7.43543801981455,0,0,0,12.634606283893019
7,0,0,0,0,1,0,0,0,0,0,7.645397699428633,0,0,0,12.206077645517674
7,0,0,0,0,1,0,0,0,0,0,7.4815557019095165,0,0,0,11.774527900858468
5,0,0,0,0,1,0,0,0,0,0,6.982862751468942,0,0,0,11.678448377988165
5,0,0,0,0,1,0,0,0,0,0,6.947937068614969,0,0,0,11.771443882099637
9,0,0,0,0,1,0,0,0,0,0,7.751475318021456,0,0,0,12.75130259456002
5,0,0,0,0,1,0,0,0,0,0,6.816735880594968,0,0,0,11.87757552297847
7,0,0,0,0,1,0,0,0,0,0,7.3098814858247865,0,0,0,12.540761149388421
6,0,0,0,0,1,0,0,0,0,0,7.134093721192866,0,0,0,11.964007453736912
7,0,0,0,0,1,0,0,0,0,0,6.75110146893676,0,0,0,11.790564777297387
6,0,0,0,0,1,0,0,0,0,0,6.912742820493176,0,0,0,11.91170829631447
4,0,0,0,0,1,0,0,0,0,0,7.167809184316444,0,0,0,11.407576060361786
5,0,0,0,0,1,0,0,0,0,0,7.016609683894219,0,0,0,11.976665770490767
5,0,0,0,0,1,0,0,0,0,0,7.200424892944957,0,0,0,11.842236406331555
8,0,0,0,0,1,0,0,0,0,0,7.773594467360194,0,0,0,12.692506186542177
7,0,0,0,0,1,0,0,0,0,0,7.011213987350367,0,0,0,11.845109950883979
8,0,0,0,0,1,0,0,0,0,0,7.493317248862145,0,0,0,12.345838935721968
5,0,0,0,0,1,0,0,0,0,0,6.966967138613983,0,0,0,11.774527900858468
5,0,0,0,0,1,0,0,0,0,0,6.966967138613983,0,0,0,11.944714374881176
8,0,0,0,0,1,0,0,0,0,0,7.3783837129967145,0,0,0,12.454107814022272
5,0,0,0,0,1,0,0,0,0,0,6.803505257608338,0,0,0,11.811554895830454
8,0,0,0,0,1,0,0,0,0,0,7.4413203897176174,0,0,0,12.631343648903034
5,0,0,0,0,1,0,0,0,0,0,7.3783837129967145,0,0,0,12.242891437918386
4,0,0,0,0,1,0,0,0,0,0,6.255750041753367,0,0,0,11.134603622683905
4,0,0,0,0,1,0,0,0,0,1,7.183870715062453,0,0,0,10.596659732783579
5,0,0,0,0,1,0,0,0,0,0,7.113956109566034,0,0,0,11.914054519303125
8,0,0,0,0,1,0,0,0,0,0,7.118826249062078,0,0,0,12.100161978566867
5,0,0,0,0,1,0,0,0,0,0,7.438971592395862,0,0,0,12.016732516077072
9,0,0,0,0,1,0,0,0,0,0,7.3537223303996315,0,0,0,12.533579815765737
8,0,0,0,0,1,0,0,0,0,0,7.8050670442584895,0,0,0,12.6410997921206
5,0,0,0,0,1,0,0,0,0,0,7.001245622069476,0,0,0,11.884495917930655
5,0,0,0,0,1,0,0,0,0,0,7.168579897264035,0,0,0,11.938199736300925
5,0,0,0,0,1,0,0,0,0,0,6.964135612418245,0,0,0,11.599112335481124
4,0,0,0,0,1,0,0,0,0,0,7.050122520269059,0,0,0,11.314486721293981
6,0,0,0,0,1,0,0,0,0,0,7.1891677384203225,0,0,0,11.982935344196433
5,0,0,0,0,1,0,0,0,0,0,7.192182058713246,0,0,0,12.04355959836804
5,0,0,0,0,1,0,0,0,0,0,6.785587645007929,0,0,0,11.87757552297847
5,0,0,0,0,1,0,0,0,0,0,6.844815479208263,0,0,0,11.777218637129327
5,0,0,0,0,1,0,0,0,0,0,7.048386408721883,0,0,0,11.856522261533737
9,0,0,0,0,1,0,0,0,0,0,7.469083884921234,0,0,0,12.675766851909591
7,0,0,0,0,1,0,0,0,0,0,7.673223121121708,0,0,0,12.387089184491993
8,0,0,0,0,1,0,0,0,0,0,7.4127640174265625,0,0,0,12.428019481065613
4,0,0,0,0,1,0,0,0,0,0,7.2813856635702825,0,0,0,11.635151947212842
5,0,0,0,0,1,0,0,0,0,0,6.862757913051401,0,0,0,11.751950239425476
6,0,0,0,0,1,0,0,0,0,0,7.293697720601438,0,0,0,12.083910661257521
6,0,0,0,0,1,0,0,0,0,0,7.0707241072602764,0,0,0,11.648338835562747
5,0,0,0,0,1,0,0,0,0,0,6.705639094860003,0,0,0,11.608244735642321
9,0,0,0,0,1,1,0,0,0,0,7.519149957669823,0,0,0,12.861001210669146
5,0,0,0,0,1,0,0,0,0,0,7.215975002651466,0,0,0,11.775297421715827
6,0,0,0,0,1,0,0,0,0,0,7.262628600974241,0,0,0,12.103491596905931
8,0,0,0,0,1,0,0,0,0,0,7.461640392208575,0,0,0,12.058158312538197
7,0,0,0,0,1,0,0,0,0,0,7.450660796211539,0,0,0,12.188422799337028
10,0,0,0,0,1,0,0,0,0,0,7.988203597022576,0,0,0,12.991755706536901
5,0,0,0,0,1,0,0,0,0,0,6.660575149839686,0,0,0,11.735276702486741
6,0,0,0,0,1,0,0,0,0,0,7.055312843339752,0,0,0,11.970356641102999
5,0,0,0,0,1,0,0,0,0,0,7.013915474810528,0,0,0,11.522885696764481
8,0,0,0,0,1,0,0,0,0,0,7.223295679562314,0,0,0,12.218500103788143
7,0,0,0,0,1,0,0,0,0,0,7.444833273892193,0,0,0,11.849404844423074
7,0,0,0,0,1,0,0,0,0,0,7.618251097876695,0,0,0,12.299112067295642
8,0,0,0,0,1,0,0,0,0,0,7.813591552952433,0,0,0,12.666660207428574
7,0,0,0,0,1,0,0,0,0,0,7.699842407396986,0,0,0,12.100717685412471
