OverallQual,GrLivArea,TotalBsmtSF,GarageCars,BsmtFinSF1,YearBuilt,LotArea,GarageYrBlt,YearRemodAdd,CentralAir_Y,2ndFlrSF,CentralAir_N,Fireplaces,BsmtUnfSF,LotFrontage,OpenPorchSF,MSZoning_RM,GarageType_Detchd,MSZoning_C (all),WoodDeckSF,BsmtQual,BsmtFinType1,MasVnrArea,OverallCond_3,GarageType_Attchd,KitchenQual,ExterCond,FullBath,EnclosedPorch,BedroomAbvGr,SalePrice
7,7.444833273892193,6.75343791859778,2.0,6.561030665896573,2003,9.042040056544483,7.602900462204755,2003,1,6.75110146893676,0,0,5.017279836814924,4.189654742026425,4.127134385045092,0,0,0,0.0,2,2,5.2832037287379885,0,1,1.0986122886681098,1.6094379124341003,2,0.0,3,12.24769911637256
6,7.141245122350491,7.141245122350491,2.0,6.88653164253051,1976,9.169622538697624,7.589335823170617,1976,1,0.0,0,1,5.652489180268651,4.394449154672439,0.0,0,0,0,5.700443573390687,2,0,0.0,0,1,1.3862943611198906,1.6094379124341003,2,0.0,3,12.109016442313738
7,7.488293515159428,6.825460036255307,2.0,6.18826412308259,2001,9.328212292571072,7.601901959875166,2002,1,6.7650389767805414,0,1,6.075346031088684,4.23410650459726,3.7612001156935624,0,0,0,0.0,2,2,5.093750200806762,0,1,1.0986122886681098,1.6094379124341003,2,0.0,3,12.317171167298682
7,7.4489161025442,6.6293632534374485,3.0,5.37989735354046,1915,9.164401140034737,7.6004023345004,1970,1,6.6293632534374485,0,1,6.293419278846481,4.110873864173311,3.58351893845611,0,1,0,0.0,4,0,0.0,0,0,1.0986122886681098,1.6094379124341003,1,5.60947179518496,3,11.849404844423074
8,7.695757990554761,7.044032897274685,3.0,6.486160788944089,2000,9.565283817736766,7.601402334583733,2000,1,6.960347729101308,0,1,6.19644412779452,4.442651256490317,4.442651256490317,0,0,0,5.262690188904886,2,2,5.860786223465865,0,1,1.0986122886681098,1.6094379124341003,2,0.0,4,12.429220196836383
5,7.217443431696533,6.680854678790215,2.0,6.597145701886651,1993,9.55506418479516,7.597897950521784,1995,1,6.340359303727752,0,0,4.174387269895637,4.454347296253507,3.4339872044851463,0,0,0,3.713572066704308,2,2,0.0,0,1,1.3862943611198906,1.6094379124341003,1,0.0,1,11.870606902224587
8,7.43543801981455,7.430707082545968,2.0,7.222566018822171,2004,9.218804450388312,7.60339933974067,2005,1,0.0,0,1,5.762051382780177,4.330733340286331,4.060443010546419,0,0,0,5.545177444479562,0,2,5.231108616854587,0,1,1.0986122886681098,1.6094379124341003,2,0.0,3,12.634606283893019
7,7.645397699428633,7.010311867307229,2.0,6.756932389247553,1973,9.247925132303454,7.587817219993427,1973,1,6.891625897052253,0,2,5.37989735354046,4.110873864173311,5.3230099791384085,0,0,0,5.4638318050256105,2,0,5.484796933490655,0,1,1.3862943611198906,1.6094379124341003,2,5.43372200355424,3,12.206077645517674
7,7.4815557019095165,6.859614903654202,2.0,0.0,1931,8.71948076085107,7.566311014772463,1950,1,6.6240652277998935,0,2,6.859614903654202,3.9512437185814275,0.0,1,1,0,4.51085950651685,4,6,0.0,0,0,1.3862943611198906,1.6094379124341003,2,5.327876168789581,2,11.774527900858468
5,6.982862751468942,6.899723107284872,1.0,6.747586526829315,1939,8.912069097970134,7.570443252057374,1950,1,0.0,0,2,4.948759890378168,3.9318256327243257,1.6094379124341003,0,0,0,0.0,4,2,0.0,0,1,1.3862943611198906,1.6094379124341003,1,0.0,2,11.678448377988165
